Minimum of Daily Min-Temperature - (Celsius), Year, Model, Statistics, ISO3
2.35557, 2080-2099, noresm1_m, Apr Anomaly, NPL
2.08921, 2080-2099, noresm1_m, May Anomaly, NPL
1.71732, 2080-2099, noresm1_m, Jun Anomaly, NPL
1.52973, 2080-2099, noresm1_m, Jul Anomaly, NPL
1.61929, 2080-2099, noresm1_m, Aug Anomaly, NPL
2.1848, 2080-2099, noresm1_m, Sep Anomaly, NPL
1.87253, 2080-2099, noresm1_m, Oct Anomaly, NPL
2.4178, 2080-2099, noresm1_m, Nov Anomaly, NPL
1.96659, 2080-2099, noresm1_m, Dec Anomaly, NPL
-0.2747, 2080-2099, Ensemble (10th Percentile), Jan Anomaly, NPL
-0.0891, 2080-2099, Ensemble (10th Percentile), Feb Anomaly, NPL
0.18468, 2080-2099, Ensemble (10th Percentile), Mar Anomaly, NPL
-0.4647, 2080-2099, Ensemble (10th Percentile), Apr Anomaly, NPL
-0.0689, 2080-2099, Ensemble (10th Percentile), May Anomaly, NPL
-0.2545, 2080-2099, Ensemble (10th Percentile), Jun Anomaly, NPL
0.1568, 2080-2099, Ensemble (10th Percentile), Jul Anomaly, NPL
-0.1842, 2080-2099, Ensemble (10th Percentile), Aug Anomaly, NPL
0.51755, 2080-2099, Ensemble (10th Percentile), Sep Anomaly, NPL
0.52228, 2080-2099, Ensemble (10th Percentile), Oct Anomaly, NPL
-0.8288, 2080-2099, Ensemble (10th Percentile), Nov Anomaly, NPL
-0.4843, 2080-2099, Ensemble (10th Percentile), Dec Anomaly, NPL
3.45579, 2080-2099, Ensemble (50th Percentile), Jan Anomaly, NPL
2.95875, 2080-2099, Ensemble (50th Percentile), Feb Anomaly, NPL
3.09729, 2080-2099, Ensemble (50th Percentile), Mar Anomaly, NPL
2.62429, 2080-2099, Ensemble (50th Percentile), Apr Anomaly, NPL
2.55477, 2080-2099, Ensemble (50th Percentile), May Anomaly, NPL
2.3465, 2080-2099, Ensemble (50th Percentile), Jun Anomaly, NPL
2.0972, 2080-2099, Ensemble (50th Percentile), Jul Anomaly, NPL
2.16503, 2080-2099, Ensemble (50th Percentile), Aug Anomaly, NPL
2.89167, 2080-2099, Ensemble (50th Percentile), Sep Anomaly, NPL
3.01181, 2080-2099, Ensemble (50th Percentile), Oct Anomaly, NPL
2.75539, 2080-2099, Ensemble (50th Percentile), Nov Anomaly, NPL
2.91992, 2080-2099, Ensemble (50th Percentile), Dec Anomaly, NPL
5.79783, 2080-2099, Ensemble (90th Percentile), Jan Anomaly, NPL
5.77995, 2080-2099, Ensemble (90th Percentile), Feb Anomaly, NPL
6.01872, 2080-2099, Ensemble (90th Percentile), Mar Anomaly, NPL
4.84256, 2080-2099, Ensemble (90th Percentile), Apr Anomaly, NPL
4.56589, 2080-2099, Ensemble (90th Percentile), May Anomaly, NPL
4.0335, 2080-2099, Ensemble (90th Percentile), Jun Anomaly, NPL
4.61319, 2080-2099, Ensemble (90th Percentile), Jul Anomaly, NPL
4.9989, 2080-2099, Ensemble (90th Percentile), Aug Anomaly, NPL
5.1189, 2080-2099, Ensemble (90th Percentile), Sep Anomaly, NPL
5.1679, 2080-2099, Ensemble (90th Percentile), Oct Anomaly, NPL
5.82378, 2080-2099, Ensemble (90th Percentile), Nov Anomaly, NPL
6.08883, 2080-2099, Ensemble (90th Percentile), Dec Anomaly, NPL
2.86137, 2080-2099, access1_0, Annual Anomaly, NPL
3.04986, 2080-2099, access1_3, Annual Anomaly, NPL
3.09078, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
2.13897, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
3.98207, 2080-2099, bnu_esm, Annual Anomaly, NPL
6.47684, 2080-2099, canesm2, Annual Anomaly, NPL
2.20199, 2080-2099, ccsm4, Annual Anomaly, NPL
2.49612, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
3.79974, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
3.23599, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
4.71751, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
4.49388, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
1.46611, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
1.37925, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
3.4468, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
3.45174, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
1.85508, 2080-2099, inmcm4, Annual Anomaly, NPL
3.52799, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
5.75473, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
1.55345, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
3.64244, 2080-2099, miroc5, Annual Anomaly, NPL
4.43155, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
4.10903, 2080-2099, miroc_esm, Annual Anomaly, NPL
3.92724, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
3.67694, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
3.11424, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
2.7607, 2080-2099, noresm1_m, Annual Anomaly, NPL
-0.4788, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
3.2802, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
6.06151, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
